Umur,BW,%Panen,Deplesi,IP
24.96,1.03,27.50,3.62,357.00
27.64,1.42,35.23,4.42,413.00
26.53,1.41,35.99,2.76,432.00
26.75,1.38,39.28,3.97,396.00
26.77,1.43,36.81,3.28,428.00
27.36,1.38,36.16,5.77,404.00
27.43,1.43,45.77,4.48,415.00
28.18,1.42,41.25,4.39,335.00
26.99,0.94,28.77,4.48,262.00
27.03,1.10,26.73,3.72,325.00
27.53,1.18,28.41,3.89,400.00
28.48,1.01,24.79,4.79,368.00
28.87,0.97,32.35,4.26,271.00
26.81,1.14,47.98,4.57,324.00
27.38,1.15,49.60,3.88,312.00
27.76,1.28,43.17,3.32,381.00
26.90,1.12,55.05,3.95,311.00
28.20,1.32,79.77,4.42,295.00
27.96,1.41,64.93,3.69,336.00
27.51,1.20,28.36,4.05,331.00
26.51,0.92,41.08,3.69,229.00
26.58,1.12,25.49,3.80,336.00
27.35,0.98,29.27,4.89,250.00
26.64,1.05,25.96,4.23,319.00
27.52,1.10,32.24,4.35,303.00
26.26,1.15,26.45,4.00,409.00
24.00,0.88,25.81,5.17,351.00
26.76,0.97,15.20,3.57,384.00
25.54,0.96,17.91,2.81,389.00
27.05,0.89,11.78,4.67,373.00
28.00,0.90,5.74,5.92,364.00
27.90,1.31,47.30,4.42,309.00
28.30,1.46,45.22,2.92,381.00
27.12,1.16,63.11,5.04,292.00
27.85,1.31,57.62,3.62,358.00
28.70,1.23,29.95,6.60,247.00
28.12,1.11,59.36,11.57,226.00
27.79,1.04,24.47,15.49,261.00
26.46,0.85,26.49,13.89,265.00
27.77,1.23,49.81,4.32,300.00
25.59,1.05,35.33,5.71,316.00
27.34,1.20,52.27,2.59,371.00
27.19,1.24,46.07,2.75,375.00
26.78,1.39,39.49,2.03,448.00
26.76,1.25,41.92,2.59,382.00
27.00,1.36,40.10,2.18,424.00
27.19,1.33,55.29,2.68,375.00
27.68,1.43,46.58,2.34,440.00
26.76,1.34,37.05,2.32,402.00
27.36,1.39,44.06,1.87,419.00
27.47,1.45,42.56,1.81,445.00
26.86,1.31,34.55,1.70,420.00
27.10,1.33,45.51,1.59,388.00
27.22,1.39,43.33,1.74,398.00
27.07,1.33,43.71,1.71,427.00
26.66,1.38,33.53,2.70,423.00
26.66,1.40,37.14,2.76,419.00
26.19,1.33,33.09,2.94,381.00
27.16,1.42,35.19,2.50,404.00
26.09,1.18,39.99,3.46,366.00
25.69,1.34,38.04,2.91,452.00
27.02,1.32,40.90,3.37,398.00
26.78,1.39,42.20,2.28,436.00
25.36,1.15,36.96,3.35,371.00
26.47,1.39,41.11,2.61,438.00
26.24,1.30,39.09,2.32,412.00
26.15,1.31,35.89,2.22,455.00
24.83,0.94,35.71,3.76,287.00
24.33,0.95,30.32,2.89,324.00
24.70,0.93,30.40,3.03,296.00
24.07,0.85,32.18,3.59,309.00
26.94,1.23,43.44,3.18,341.00
24.74,0.93,32.02,4.33,295.00
27.53,1.21,18.74,3.97,373.00
26.58,1.09,22.85,3.52,314.00
27.66,1.29,34.97,3.50,374.00
26.32,1.02,28.96,3.34,313.00
27.59,1.16,39.19,3.09,317.00
27.03,1.13,38.53,3.29,341.00
27.79,1.04,24.47,15.49,261.00
26.46,0.85,26.49,13.89,265.00
27.77,1.23,49.81,4.32,300.00
25.59,1.05,35.33,5.71,316.00
27.34,1.20,52.27,2.59,371.00
27.19,1.24,46.07,2.75,375.00
27.90,1.31,47.30,4.34,309.00
28.30,1.46,45.22,2.85,381.00
27.12,1.16,63.11,5.04,292.00
27.85,1.31,57.62,3.56,358.00
28.70,1.23,29.95,6.60,247.00
28.12,1.11,59.36,11.57,226.00
26.26,1.15,26.45,3.93,409.00
24.00,0.88,25.81,5.17,351.00
26.76,0.97,15.20,3.57,384.00
25.54,0.96,17.91,2.81,389.00
27.05,0.89,11.78,4.62,373.00
28.00,0.90,5.74,5.92,364.00
25.93,1.10,19.53,3.61,331.00
26.51,0.92,41.08,4.12,229.00
26.58,1.12,25.49,3.80,336.00
27.35,0.98,29.27,4.82,250.00
26.64,1.05,25.96,4.23,319.00
27.52,1.10,32.24,4.35,303.00
26.81,1.14,47.98,4.57,324.00
27.38,1.15,49.60,3.88,312.00
27.76,1.28,33.62,3.32,381.00
26.90,1.12,55.05,3.95,311.00
28.20,1.32,79.77,4.34,295.00
27.96,1.41,64.93,3.64,336.00
26.77,1.28,31.79,3.38,351.00
26.45,1.27,32.83,3.24,403.00
26.83,1.27,30.56,3.30,341.00
26.31,1.26,23.45,4.01,324.00
27.29,1.35,49.04,7.20,328.00
27.97,1.42,63.20,6.17,325.00
27.97,1.49,43.69,3.02,382.00
27.59,1.38,45.24,2.61,355.00
27.83,1.28,42.25,2.52,371.00
27.85,1.28,39.07,3.20,359.00
28.21,1.40,42.41,2.74,345.00
27.96,1.36,41.95,3.08,322.00
27.58,1.33,31.86,2.53,337.00
26.78,1.22,20.91,2.99,347.00
26.86,1.24,20.02,3.23,338.00
26.79,1.12,24.89,3.65,286.00
27.85,1.34,21.46,3.79,403.00
27.63,1.21,32.44,4.66,340.00
28.59,1.26,8.54,3.15,302.00
28.42,1.24,13.79,2.51,368.00
27.92,1.21,20.62,2.67,362.00
27.89,1.14,37.77,4.24,304.00
25.77,1.12,23.83,2.84,329.00
26.69,1.16,39.55,2.94,330.00
26.66,1.38,33.53,2.70,423.00
26.66,1.40,37.14,2.81,419.00
26.19,1.33,33.09,2.94,381.00
27.16,1.42,35.19,2.50,404.00
26.09,1.18,39.99,3.46,366.00
25.69,1.34,38.04,2.91,452.00
27.02,1.32,40.90,3.37,398.00
26.78,1.39,42.20,2.28,436.00
25.36,1.15,36.96,3.35,371.00
26.47,1.39,41.11,2.61,438.00
26.24,1.30,39.09,2.32,412.00
26.15,1.31,35.89,2.26,455.00
26.78,1.39,39.49,2.03,448.00
26.76,1.25,41.92,2.59,382.00
27.00,1.36,40.10,2.18,424.00
27.19,1.33,55.29,2.68,375.00
27.68,1.43,46.58,2.30,440.00
26.76,1.34,37.05,2.23,402.00
27.36,1.39,44.06,1.87,419.00
27.47,1.45,42.56,1.81,445.00
26.86,1.31,34.55,1.74,420.00
27.10,1.33,45.51,1.65,388.00
27.22,1.39,43.33,1.78,398.00
27.07,1.33,43.71,1.77,427.00
26.97,1.48,38.97,2.14,445.00
26.77,1.34,42.27,2.03,417.00
27.19,1.49,37.45,2.30,435.00
26.33,1.34,39.24,2.10,392.00
26.91,1.30,42.77,2.13,375.00
26.91,1.47,41.29,2.31,466.00
26.72,1.27,40.60,1.82,413.00
26.84,1.30,39.99,1.98,416.00
26.84,1.38,30.06,2.46,425.00
27.81,1.50,50.36,2.40,391.00
26.71,1.35,39.96,2.16,430.00
26.97,1.32,40.25,2.23,389.00
